(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Standard (8778 verts): 
		Ganfaul (8778 verts)	-1	False	False	False	1	[Ganfaul_diffuse (UnityEngine.Material)] 	
	Standard (515 verts): 
		AutoAttackProjectileSpawnPoint (515 verts)	-1	False	False	True	1	[Default-Material (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
	Standard (440 verts): 
		SpawnPoint Enemy (1) (88 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
		SpawnPoint Enemy (3) (88 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
		SpawnPoint (88 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
		SpawnPoint Enemy (2) (88 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
		SpawnPoint Enemy (88 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
	Standard (3443 verts): 
		Book_04 (46 verts)	-1	True	False	False	1	[Atlas_Props_02 (UnityEngine.Material)] 	
		Treasure_Chest_Base_02 (189 verts)	-1	True	False	False	1	[Atlas_Props_01 (UnityEngine.Material)] 	
		Candles_02 (210 verts)	-1	True	False	False	1	[Atlas_Props_02 (UnityEngine.Material)] 	
		Treasure_Chest_lid_01 (86 verts)	-1	True	False	False	1	[Atlas_Props_01 (UnityEngine.Material)] 	
		Paper_02 (4 verts)	-1	True	False	False	1	[Atlas_Props_02 (UnityEngine.Material)] 	
		Candles_04 (96 verts)	-1	True	False	False	1	[Atlas_Props_02 (UnityEngine.Material)] 	
		Torch_02 (358 verts)	-1	True	False	False	1	[Atlas_Props_01 (UnityEngine.Material)] 	
		Torch_02 (1) (358 verts)	-1	True	False	False	1	[Atlas_Props_01 (UnityEngine.Material)] 	
		Candlestick_Floor_02_Lit (1022 verts)	-1	True	False	False	1	[Atlas_Props_01 (UnityEngine.Material)] 	
		Torch_01 (1) (358 verts)	-1	True	False	False	1	[Atlas_Props_01 (UnityEngine.Material)] 	
		Torch_01 (358 verts)	-1	True	False	False	1	[Atlas_Props_01 (UnityEngine.Material)] 	
		Torch_01 (2) (358 verts)	-1	True	False	False	1	[Atlas_Props_01 (UnityEngine.Material)] 	
	Standard (Specular setup) (6138 verts): 
		Base_01 (9) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (18) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Wall_Right_02_Damaged (1) (329 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (2) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (4) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (8) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (6) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (10) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (1) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (5) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (15) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (7) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Bench_01 (600 verts)	-1	True	False	True	1	[Atlas_Furniture_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Base_01 (12) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Wall_02_Decorated (3) (550 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (19) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (3) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (16) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Wall_02_Decorated (4) (550 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (13) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Wall_02_Decorated (6) (550 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Wall_02_Decorated (1) (550 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Wall_02_Decorated (5) (550 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (20) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Wall_02_Decorated (550 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (17) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Wall_02_Decorated (7) (550 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (14) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Wall_Right_02_Damaged (329 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Wall_02_Decorated (2) (550 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Base_01 (11) (24 verts)	-1	True	False	True	1	[Atlas_Base_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
	Standard (Specular setup) (8817 verts): 
		Wall_Corner_Preset_02 (1) (319 verts)	-1	True	False	False	1	[Atlas_Base_01 (UnityEngine.Material)] 	
		Railing_Pillar_01 (3) (236 verts)	-1	True	False	False	1	[Atlas_Base_01 (UnityEngine.Material)] 	
		Pedestal_01 (1) (258 verts)	-1	True	False	False	1	[Atlas_Base_01 (UnityEngine.Material)] 	
		Railing_01 (3) (576 verts)	-1	True	False	False	1	[Atlas_Base_01 (UnityEngine.Material)] 	
		Wall_Corner_Preset_02 (319 verts)	-1	True	False	False	1	[Atlas_Base_01 (UnityEngine.Material)] 	
		Railing_Pillar_01 (4) (236 verts)	-1	True	False	False	1	[Atlas_Base_01 (UnityEngine.Material)] 	
		Railing_01 (576 verts)	-1	True	False	False	1	[Atlas_Base_01 (UnityEngine.Material)] 	
		Railing_01 (1) (576 verts)	-1	True	False	False	1	[Atlas_Base_01 (UnityEngine.Material)] 	
		Railing_Pillar_01 (236 verts)	-1	True	False	False	1	[Atlas_Base_01 (UnityEngine.Material)] 	
		Pedestal_01 (258 verts)	-1	True	False	False	1	[Atlas_Base_01 (UnityEngine.Material)] 	
		Damaged_Column_04 (1562 verts)	-1	True	False	False	1	[Atlas_Base_01 (UnityEngine.Material)] 	
